Country,Revenue
Australia,138521.31
Austria,10198.68
Bahrain,754.14
Belgium,41196.34
Brazil,1143.6
Canada,3666.38
Channel Islands,20450.44
Cyprus,13590.38
Czech Republic,826.74
Denmark,18955.34
EIRE,283453.96
European Community,1300.25
Finland,22546.08
France,209715.11
Germany,228867.14
Greece,4760.52
Hong Kong,15691.800000000001
Iceland,4310.0
Israel,8135.26
Italy,17483.24
Japan,37416.369999999995
Lebanon,1693.88
Lithuania,1661.06
Malta,2725.59
Netherlands,285446.34
Norway,36165.44
Poland,7334.65
Portugal,33747.1
RSA,1002.3100000000001
Saudi Arabia,145.92
Singapore,21279.29
Spain,61577.11
Sweden,38378.33
Switzerland,57089.9
USA,3580.39
United Arab Emirates,1902.28
United Kingdom,9025222.084
Unspecified,4749.79
